"","Entity","Code","Year","other_renewables","solar","wind","hydro","nuclear","gas","oil","coal","bioenergy"
"45","World","OWID_WRL",2002,639.19446,5.252374,152.89404,7665.752,7551.0767,25030.172,43676.043,28962.951,12629.00194
"46","World","OWID_WRL",2003,674.7783,6.541638,183.53348,7607.18,7350.6562,25729.617,44652.22,31506.16,12507.32689
"47","World","OWID_WRL",2004,729.37866,8.563793,246.72266,8116.5034,7635.7695,26721.139,46387.812,33685.52,12370.21715
"48","World","OWID_WRL",2005,789.99854,11.99108,299.59247,8336.344,7607.3535,27438.281,46887.754,36183.348,12322.52557
"49","World","OWID_WRL",2006,841.28894,16.39757,379.86954,8599.518,7653.7217,28161.41,47388.004,38068.867,12299.51932
"50","World","OWID_WRL",2007,913.1756,22.108496,484.96048,8687.896,7450.836,29315.736,47942.97,40231.242,12308.3358
"51","World","OWID_WRL",2008,976.6638,35.682663,622.1905,9137.472,7381.6016,30026.16,47537.797,40780.08,12367.46704
"52","World","OWID_WRL",2009,1049.1632,58.852226,773.0175,9066.387,7232.23,29405.35,46489.17,40144.2,12357.6535
"53","World","OWID_WRL",2010,1173.9039,94.12616,961.486,9520.602,7373.091,31593.695,47971.41,41937.48,12366.7631
"54","World","OWID_WRL",2011,1232.3865,181.10184,1215.6783,9635.082,7021.4863,32349.238,48312.62,43895.938,12288.38153
"55","World","OWID_WRL",2012,1334.975,278.36545,1454.6062,9985.715,6500.3687,33203.004,49113.688,44022.523,12203.47174
"56","World","OWID_WRL",2013,1442.059,377.72363,1732.0238,10324.202,6512.8066,33741.91,49590.31,44670.625,12158.65063
"57","World","OWID_WRL",2014,1560.9077,534.40076,1912.321,10535.74,6606.008,33977.36,49934.684,44858.12,12098.8694
"58","World","OWID_WRL",2015,1688.6459,689.34564,2238.8726,10447.261,6655.106,34788.023,50964.02,43669.83,12023.97784
"59","World","OWID_WRL",2016,1714.8402,879.17914,2575.6694,10746.731,6714.155,35592.57,51992.56,42715.14,12064.7291
"60","World","OWID_WRL",2017,1826.1881,1185.5515,3037.927,10834.706,6734.279,36521.11,52866.46,43129.867,12085.0694
"61","World","OWID_WRL",2018,1973.996,1523.3044,3358.8267,11084.954,6855.408,38355.83,53405.137,43795.4,12160.8936
"62","World","OWID_WRL",2019,2072.3691,1858.954,3744.7256,11185.189,7071.7817,39058.266,53512.844,43534.613,12235.6016
"63","World","OWID_WRL",2020,2182.6973,2243.835,4186.181,11448.027,6776.866,38603.406,48609.645,42233.39,12184.7583
"64","World","OWID_WRL",2021,2335.3115,2771.829,4851.594,11222.36,7037.069,40670.66,51349.656,44564.812,12253.8717
"65","World","OWID_WRL",2022,2413.8076,3448.2373,5487.6,11299.816,6702.3394,39413.043,52969.59,44854.035,12310.2067
